num_workers,num_envs_per_worker,num_nodes,throughput
1,4,1,143.7744049
2,4,1,283.8606166
4,4,1,543.8100929
8,4,1,1083.378082
16,4,1,2180.685358
32,4,1,2683.743495
64,4,1,2630.363841
128,4,1,2136.518829
2,4,2,123.45685
4,4,2,260.3976
8,4,2,476.84453
16,4,2,1382.076097
32,4,2,1710.804525
64,4,2,1700.90459
128,4,2,1600.23554
4,4,3,251.2351
8,4,3,453.2343
16,4,3,1134.534
32,4,3,1032.3248
64,4,3,1030.8764
128,4,3,1002.345
4,4,4,245.674432
8,4,4,421.3213
16,4,4,717.115548
32,4,4,887.6823257
64,4,4,889.123475
128,4,4,850.12312